NOTE! USE TRIAL THREE FOR SURE,,Ix, Iz,,,Ix, Iz,,,Ix, Iz,,,Iy, Iz,,,Iy, Iz,,,
0.00525,-0.02036,0.00851,-0.02036,,,0.00851,-0.02036,,,0.00851,-0.02036,,,0.00851,-0.02036,,,0.00851,-0.02036,,,
0.006165,-0.02036,0.01,-0.02036,,,0.01,-0.02036,,,0.01,-0.02036,,,0.01,-0.02036,,,0.01,-0.02036,,,
0.007245,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.00851,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.01,-0.02036,,,,,,,,,,,,,,,,,,,,,
Trial 2 for input current Ix,,,,,,,,,,,,,,,,,,,,,,
Ix, Iz,,,,,,,,,,,,,,,,,,,,,
1.00E-09,-0.00128,,,,,,,,,,,,,,,,,,,,,
1.15E-09,-0.00128,,,,,,,,,,,,,,,,,,,,,
1.40E-09,-0.00128,,,,,,,,,,,,,,,,,,,,,
1.60E-09,-0.00128,,,,,,,,,,,,,,,,,,,,,
1.90E-09,-0.00128,,,,,,,,,,,,,,,,,,,,,
2.25E-09,-0.00128,,,,,,,,,,,,,,,,,,,,,
2.65E-09,-0.00128,,,,,,,,,,,,,,,,,,,,,
3.10E-09,-0.00127,,,,,,,,,,,,,,,,,,,,,
3.65E-09,-0.00127,,,,,,,,,,,,,,,,,,,,,
4.25E-09,-0.00127,,,,,,,,,,,,,,,,,,,,,
5.00E-09,-0.00127,,,,,,,,,,,,,,,,,,,,,
5.90E-09,-0.00127,,,,,,,,,,,,,,,,,,,,,
6.90E-09,-0.00127,,,,,,,,,,,,,,,,,,,,,
8.15E-09,-0.00127,,,,,,,,,,,,,,,,,,,,,
9.55E-09,-0.00128,,,,,,,,,,,,,,,,,,,,,
1.12E-08,-0.00128,,,,,,,,,,,,,,,,,,,,,
1.32E-08,-0.00128,,,,,,,,,,,,,,,,,,,,,
1.55E-08,-0.00128,,,,,,,,,,,,,,,,,,,,,
1.82E-08,-0.00128,,,,,,,,,,,,,,,,,,,,,
2.14E-08,-0.00128,,,,,,,,,,,,,,,,,,,,,
2.51E-08,-0.00128,,,,,,,,,,,,,,,,,,,,,
2.95E-08,-0.00128,,,,,,,,,,,,,,,,,,,,,
3.47E-08,-0.00129,,,,,,,,,,,,,,,,,,,,,
4.08E-08,-0.00129,,,,,,,,,,,,,,,,,,,,,
4.79E-08,-0.00129,,,,,,,,,,,,,,,,,,,,,
5.63E-08,-0.0013,,,,,,,,,,,,,,,,,,,,,
6.61E-08,-0.0013,,,,,,,,,,,,,,,,,,,,,
7.76E-08,-0.00131,,,,,,,,,,,,,,,,,,,,,
9.12E-08,-0.00132,,,,,,,,,,,,,,,,,,,,,
1.07E-07,-0.00132,,,,,,,,,,,,,,,,,,,,,
1.26E-07,-0.00133,,,,,,,,,,,,,,,,,,,,,
1.48E-07,-0.00134,,,,,,,,,,,,,,,,,,,,,
1.74E-07,-0.00136,,,,,,,,,,,,,,,,,,,,,
2.04E-07,-0.00137,,,,,,,,,,,,,,,,,,,,,
2.40E-07,-0.00139,,,,,,,,,,,,,,,,,,,,,
2.82E-07,-0.00142,,,,,,,,,,,,,,,,,,,,,
3.31E-07,-0.00145,,,,,,,,,,,,,,,,,,,,,
3.89E-07,-0.00148,,,,,,,,,,,,,,,,,,,,,
4.57E-07,-0.00152,,,,,,,,,,,,,,,,,,,,,
5.37E-07,-0.00157,,,,,,,,,,,,,,,,,,,,,
6.31E-07,-0.00163,,,,,,,,,,,,,,,,,,,,,
7.42E-07,-0.00171,,,,,,,,,,,,,,,,,,,,,
8.71E-07,-0.00179,,,,,,,,,,,,,,,,,,,,,
1.02E-06,-0.0019,,,,,,,,,,,,,,,,,,,,,
1.20E-06,-0.00203,,,,,,,,,,,,,,,,,,,,,
1.41E-06,-0.00219,,,,,,,,,,,,,,,,,,,,,
1.66E-06,-0.00238,,,,,,,,,,,,,,,,,,,,,
1.95E-06,-0.00261,,,,,,,,,,,,,,,,,,,,,
2.29E-06,-0.00288,,,,,,,,,,,,,,,,,,,,,
2.69E-06,-0.00323,,,,,,,,,,,,,,,,,,,,,
3.16E-06,-0.00368,,,,,,,,,,,,,,,,,,,,,
3.72E-06,-0.0042,,,,,,,,,,,,,,,,,,,,,
4.37E-06,-0.0048,,,,,,,,,,,,,,,,,,,,,
5.13E-06,-0.00554,,,,,,,,,,,,,,,,,,,,,
6.03E-06,-0.00641,,,,,,,,,,,,,,,,,,,,,
7.08E-06,-0.00744,,,,,,,,,,,,,,,,,,,,,
8.32E-06,-0.00864,,,,,,,,,,,,,,,,,,,,,
9.77E-06,-0.01005,,,,,,,,,,,,,,,,,,,,,
1.15E-05,-0.01173,,,,,,,,,,,,,,,,,,,,,
1.35E-05,-0.01368,,,,,,,,,,,,,,,,,,,,,
1.59E-05,-0.01598,,,,,,,,,,,,,,,,,,,,,
1.86E-05,-0.01862,,,,,,,,,,,,,,,,,,,,,
2.19E-05,-0.02036,,,,,,,,,,,,,,,,,,,,,
2.57E-05,-0.02036,,,,,,,,,,,,,,,,,,,,,
3.02E-05,-0.02036,,,,,,,,,,,,,,,,,,,,,
3.55E-05,-0.02036,,,,,,,,,,,,,,,,,,,,,
4.17E-05,-0.02036,,,,,,,,,,,,,,,,,,,,,
4.90E-05,-0.02036,,,,,,,,,,,,,,,,,,,,,
5.76E-05,-0.02036,,,,,,,,,,,,,,,,,,,,,
6.76E-05,-0.02036,,,,,,,,,,,,,,,,,,,,,
7.95E-05,-0.02036,,,,,,,,,,,,,,,,,,,,,
9.34E-05,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.00010965,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.0001288,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.00015135,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.00017785,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.000209,-0.02036,,,,,,,,,,,,,,,,,,,,,
0.0002455,-0.02036,,,,,,,,,,,,,,,,,,,,,
