Run 1
Vb, Ib, Ie, Ic
1.55,8.09e-08,-9e-10,-8.18e-08
1.6,7e-08,-4e-10,-7.04e-08
1.65,8.88e-08,-9e-10,-8.97e-08
1.7,7.47e-08,-7e-10,-7.54e-08
1.75,8.21e-08,-6e-10,-8.27e-08
1.8,9.25e-08,-5e-10,-9.3e-08
1.85,8.73e-08,-4e-10,-8.77e-08
1.9,9.44e-08,-4e-10,-9.48e-08
1.95,9.03e-08,-6e-10,-9.09e-08
2.0,8.92e-08,-6e-10,-8.98e-08
2.05,1.331e-07,-7e-10,-1.338e-07
2.1,1.408e-07,-5e-10,-1.413e-07
2.15,1.45e-07,-7e-10,-1.457e-07
2.2,1.458e-07,-1e-09,-1.468e-07
2.25,1.456e-07,-7e-10,-1.463e-07
2.3,1.47e-07,-5e-10,-1.475e-07
2.35,1.482e-07,-7e-10,-1.489e-07
2.4,1.52e-07,-1.1e-09,-1.531e-07
2.45,1.527e-07,-8e-10,-1.535e-07
2.5,1.61e-07,-8e-10,-1.618e-07
2.55,1.6e-07,-8e-10,-1.608e-07
2.6,1.597e-07,-7e-10,-1.604e-07
2.65,1.62e-07,-4e-10,-1.624e-07
2.7,1.648e-07,-6e-10,-1.654e-07
2.75,1.712e-07,-8e-10,-1.72e-07
2.8,1.735e-07,-7e-10,-1.742e-07
2.85,1.76e-07,-7e-10,-1.767e-07
2.9,1.715e-07,-7e-10,-1.722e-07
2.95,1.724e-07,-9e-10,-1.733e-07
3.0,1.91e-07,-5e-10,-1.915e-07
3.05,1.904e-07,-8e-10,-1.912e-07
3.1,1.894e-07,-9e-10,-1.903e-07
3.15,4.3e-08,-1e-09,-4.4e-08
3.2,4.1e-08,-6e-10,-4.16e-08
3.25,4.3e-08,-5e-10,-4.35e-08
3.3,4.3e-08,-7e-10,-4.37e-08
3.35,4.6e-08,-6e-10,-4.66e-08
3.4,4.3e-08,-6e-10,-4.36e-08
3.45,4.3e-08,-7e-10,-4.37e-08
3.5,4.6e-08,-7e-10,-4.67e-08
3.55,5.1e-08,-6e-10,-5.16e-08
3.6,4.7e-08,-8e-10,-4.78e-08
3.65,4.6e-08,-7e-10,-4.67e-08
3.7,4.3e-08,-4e-10,-4.34e-08
3.75,5e-08,-7e-10,-5.07e-08
3.8,4.7e-08,-4e-10,-4.74e-08
3.85,4.6e-08,-5e-10,-4.65e-08
3.9,4.9e-08,-7e-10,-4.97e-08
3.95,5.1e-08,-7e-10,-5.17e-08
4.0,4.8e-08,-7e-10,-4.87e-08
4.05,5.4e-08,-5e-10,-5.45e-08
4.1,5e-08,-9e-10,-5.09e-08
4.15,5.1e-08,-6e-10,-5.16e-08
4.2,5.1e-08,-2e-10,-5.12e-08
4.25,5.1e-08,-3e-10,-5.13e-08
4.3,5e-08,-6e-10,-5.06e-08
4.35,5.2e-08,-9e-10,-5.29e-08
4.4,5.4e-08,-9e-10,-5.49e-08
4.45,4.6e-08,-7e-10,-4.67e-08
4.5,5.5e-08,-6e-10,-5.56e-08
4.55,5.6e-08,-7e-10,-5.67e-08
4.6,5.5e-08,-5e-10,-5.55e-08
4.65,5.6e-08,-6e-10,-5.66e-08
4.7,4.6e-08,-7e-10,-4.67e-08
4.75,5e-08,-8e-10,-5.08e-08
4.8,5.5e-08,-7e-10,-5.57e-08
4.85,5.6e-08,-8e-10,-5.68e-08
4.9,5.4e-08,-7e-10,-5.47e-08
4.95,5.2e-08,-7e-10,-5.27e-08
5.0,6e-08,-8e-10,-6.08e-08
